support,itemsets
0.8542589857213195,"frozenset({'w', 'f', 'n'})"
0.8542589857213195,"frozenset({'f', 'w', 'p', 'n'})"
0.7996061053668144,"frozenset({'o', 'p', 'n'})"
0.7996061053668144,"frozenset({'o', 'f', 'n'})"
0.775972427375677,"frozenset({'o', 'w', 'n'})"
0.7466765140324964,"frozenset({'o', 'b', 'n'})"
0.7996061053668144,"frozenset({'p', 'o', 'f', 'n'})"
0.775972427375677,"frozenset({'o', 'w', 'f', 'n'})"
0.775972427375677,"frozenset({'o', 'w', 'p', 'n'})"
0.775972427375677,"frozenset({'f', 'o', 'p', 'w', 'n'})"
0.7466765140324964,"frozenset({'f', 'o', 'b', 'n'})"
0.7466765140324964,"frozenset({'p', 'o', 'b', 'n'})"
0.7230428360413589,"frozenset({'o', 'w', 'b', 'n'})"
0.7466765140324964,"frozenset({'f', 'b', 'p', 'o', 'n'})"
0.7230428360413589,"frozenset({'f', 'b', 'o', 'w', 'n'})"
0.7230428360413589,"frozenset({'b', 'o', 'p', 'w', 'n'})"
0.7230428360413589,"frozenset({'f', 'b', 'p', 'w', 'o', 'n'})"
0.8249630723781388,"frozenset({'p', 'b', 'n'})"
0.8249630723781388,"frozenset({'f', 'b', 'n'})"
0.8013293943870015,"frozenset({'w', 'b', 'n'})"
0.8249630723781388,"frozenset({'f', 'p', 'b', 'n'})"
0.8013293943870015,"frozenset({'p', 'w', 'b', 'n'})"
0.8013293943870015,"frozenset({'f', 'w', 'b', 'n'})"
0.8013293943870015,"frozenset({'f', 'b', 'p', 'w', 'n'})"
0.8552437223042836,"frozenset({'f', 'c'})"
0.8552437223042836,"frozenset({'c', 'p'})"
0.8316100443131462,"frozenset({'w', 'c'})"
0.8124076809453471,"frozenset({'o', 'c'})"
0.7331363860167405,"frozenset({'c', 'n'})"
0.8023141309699655,"frozenset({'b', 'c'})"
0.8552437223042836,"frozenset({'f', 'c', 'p'})"
0.8316100443131462,"frozenset({'w', 'c', 'p'})"
0.8316100443131462,"frozenset({'w', 'f', 'c'})"
0.8316100443131462,"frozenset({'w', 'f', 'c', 'p'})"
0.8124076809453471,"frozenset({'o', 'c', 'p'})"
0.8124076809453471,"frozenset({'o', 'f', 'c'})"
0.7887740029542097,"frozenset({'o', 'w', 'c'})"
0.8124076809453471,"frozenset({'o', 'f', 'c', 'p'})"
0.7887740029542097,"frozenset({'o', 'w', 'c', 'p'})"
0.7887740029542097,"frozenset({'o', 'w', 'f', 'c'})"
0.7887740029542097,"frozenset({'f', 'c', 'o', 'p', 'w'})"
0.7331363860167405,"frozenset({'p', 'c', 'n'})"
0.7331363860167405,"frozenset({'f', 'c', 'n'})"
0.7095027080256031,"frozenset({'w', 'c', 'n'})"
0.690300344657804,"frozenset({'o', 'c', 'n'})"
0.6802067946824224,"frozenset({'b', 'c', 'n'})"
0.7331363860167405,"frozenset({'p', 'f', 'c', 'n'})"
0.7095027080256031,"frozenset({'w', 'f', 'c', 'n'})"
0.7095027080256031,"frozenset({'w', 'p', 'c', 'n'})"
0.7095027080256031,"frozenset({'f', 'c', 'p', 'w', 'n'})"
0.690300344657804,"frozenset({'o', 'f', 'c', 'n'})"
0.690300344657804,"frozenset({'o', 'p', 'c', 'n'})"
0.6666666666666666,"frozenset({'o', 'w', 'c', 'n'})"
0.690300344657804,"frozenset({'f', 'c', 'p', 'o', 'n'})"
0.6666666666666666,"frozenset({'f', 'c', 'o', 'w', 'n'})"
0.6666666666666666,"frozenset({'c', 'o', 'p', 'w', 'n'})"
0.6666666666666666,"frozenset({'f', 'c', 'p', 'w', 'o', 'n'})"
0.6802067946824224,"frozenset({'f', 'b', 'c', 'n'})"
0.6802067946824224,"frozenset({'p', 'b', 'c', 'n'})"
0.656573116691285,"frozenset({'w', 'b', 'c', 'n'})"
0.6373707533234859,"frozenset({'o', 'b', 'c', 'n'})"
0.6802067946824224,"frozenset({'f', 'b', 'c', 'p', 'n'})"
0.656573116691285,"frozenset({'b', 'c', 'p', 'w', 'n'})"
0.656573116691285,"frozenset({'f', 'b', 'c', 'w', 'n'})"
0.656573116691285,"frozenset({'f', 'b', 'c', 'p', 'w', 'n'})"
0.6373707533234859,"frozenset({'b', 'c', 'p', 'o', 'n'})"
0.6373707533234859,"frozenset({'f', 'b', 'c', 'o', 'n'})"
0.6137370753323486,"frozenset({'b', 'c', 'o', 'w', 'n'})"
0.6373707533234859,"frozenset({'f', 'b', 'c', 'p', 'o', 'n'})"
0.6137370753323486,"frozenset({'b', 'c', 'p', 'w', 'o', 'n'})"
0.6137370753323486,"frozenset({'f', 'b', 'c', 'w', 'o', 'n'})"
0.6137370753323486,"frozenset({'f', 'b', 'c', 'p', 'w', 'o', 'n'})"
0.8023141309699655,"frozenset({'b', 'c', 'p'})"
0.8023141309699655,"frozenset({'f', 'b', 'c'})"
0.7786804529788282,"frozenset({'w', 'b', 'c'})"
0.759478089611029,"frozenset({'o', 'b', 'c'})"
0.8023141309699655,"frozenset({'f', 'b', 'c', 'p'})"
0.7786804529788282,"frozenset({'f', 'w', 'b', 'c'})"
0.7786804529788282,"frozenset({'w', 'b', 'c', 'p'})"
0.7786804529788282,"frozenset({'f', 'b', 'c', 'p', 'w'})"
0.759478089611029,"frozenset({'f', 'o', 'b', 'c'})"
0.759478089611029,"frozenset({'o', 'b', 'c', 'p'})"
0.7358444116198917,"frozenset({'o', 'w', 'b', 'c'})"
0.759478089611029,"frozenset({'f', 'b', 'c', 'p', 'o'})"
0.7358444116198917,"frozenset({'f', 'b', 'c', 'o', 'w'})"
0.7358444116198917,"frozenset({'b', 'c', 'o', 'p', 'w'})"
0.7358444116198917,"frozenset({'f', 'b', 'c', 'p', 'w', 'o'})"
0.810930576070901,"frozenset({'e', 'f'})"
0.810930576070901,"frozenset({'e', 'p'})"
0.7872968980797637,"frozenset({'e', 'w'})"
0.7326440177252584,"frozenset({'e', 'o'})"
0.724273756770064,"frozenset({'e', 'n'})"
0.6779911373707533,"frozenset({'e', 'c'})"
0.758000984736583,"frozenset({'e', 'b'})"
0.810930576070901,"frozenset({'e', 'f', 'p'})"
0.7872968980797637,"frozenset({'e', 'w', 'p'})"
0.7872968980797637,"frozenset({'e', 'w', 'f'})"
0.7872968980797637,"frozenset({'e', 'w', 'f', 'p'})"
0.7326440177252584,"frozenset({'e', 'o', 'p'})"
0.7326440177252584,"frozenset({'e', 'o', 'f'})"
0.7090103397341211,"frozenset({'w', 'e', 'o'})"
0.6797144263909404,"frozenset({'e', 'o', 'b'})"
0.7326440177252584,"frozenset({'e', 'o', 'f', 'p'})"
0.7090103397341211,"frozenset({'w', 'e', 'o', 'f'})"
0.7090103397341211,"frozenset({'w', 'e', 'o', 'p'})"
0.7090103397341211,"frozenset({'e', 'f', 'o', 'p', 'w'})"
0.6797144263909404,"frozenset({'f', 'e', 'o', 'b'})"
0.6797144263909404,"frozenset({'e', 'o', 'b', 'p'})"
0.656080748399803,"frozenset({'w', 'e', 'o', 'b'})"
0.6797144263909404,"frozenset({'e', 'f', 'b', 'p', 'o'})"
0.656080748399803,"frozenset({'e', 'f', 'b', 'o', 'w'})"
0.656080748399803,"frozenset({'e', 'b', 'o', 'p', 'w'})"
0.656080748399803,"frozenset({'e', 'f', 'b', 'p', 'w', 'o'})"
0.724273756770064,"frozenset({'e', 'p', 'n'})"
0.724273756770064,"frozenset({'e', 'f', 'n'})"
0.7006400787789266,"frozenset({'e', 'w', 'n'})"
0.6459871984244214,"frozenset({'e', 'o', 'n'})"
0.6713441654357459,"frozenset({'e', 'b', 'n'})"
0.724273756770064,"frozenset({'e', 'p', 'f', 'n'})"
0.7006400787789266,"frozenset({'e', 'w', 'f', 'n'})"
0.7006400787789266,"frozenset({'e', 'w', 'p', 'n'})"
0.7006400787789266,"frozenset({'e', 'f', 'p', 'w', 'n'})"
0.6459871984244214,"frozenset({'e', 'o', 'f', 'n'})"
0.6459871984244214,"frozenset({'e', 'o', 'p', 'n'})"
0.6223535204332841,"frozenset({'w', 'e', 'o', 'n'})"
0.5930576070901034,"frozenset({'e', 'o', 'b', 'n'})"
0.6459871984244214,"frozenset({'e', 'f', 'p', 'o', 'n'})"
0.6223535204332841,"frozenset({'e', 'o', 'p', 'w', 'n'})"
0.6223535204332841,"frozenset({'e', 'f', 'o', 'w', 'n'})"
0.6223535204332841,"frozenset({'e', 'f', 'p', 'w', 'o', 'n'})"
0.5930576070901034,"frozenset({'e', 'b', 'p', 'o', 'n'})"
0.5930576070901034,"frozenset({'e', 'f', 'b', 'o', 'n'})"
0.569423929098966,"frozenset({'e', 'b', 'o', 'w', 'n'})"
0.5930576070901034,"frozenset({'e', 'f', 'b', 'p', 'o', 'n'})"
0.569423929098966,"frozenset({'e', 'b', 'p', 'w', 'o', 'n'})"
0.569423929098966,"frozenset({'e', 'f', 'b', 'w', 'o', 'n'})"
0.569423929098966,"frozenset({'e', 'f', 'b', 'p', 'w', 'o', 'n'})"
0.6713441654357459,"frozenset({'f', 'e', 'b', 'n'})"
0.6713441654357459,"frozenset({'e', 'p', 'b', 'n'})"
0.6477104874446086,"frozenset({'e', 'w', 'b', 'n'})"
0.6713441654357459,"frozenset({'e', 'f', 'b', 'p', 'n'})"
0.6477104874446086,"frozenset({'e', 'f', 'b', 'w', 'n'})"
0.6477104874446086,"frozenset({'e', 'b', 'p', 'w', 'n'})"
0.6477104874446086,"frozenset({'e', 'f', 'b', 'p', 'w', 'n'})"
0.6779911373707533,"frozenset({'e', 'c', 'p'})"
0.6779911373707533,"frozenset({'e', 'f', 'c'})"
0.654357459379616,"frozenset({'e', 'w', 'c'})"
0.6351550960118169,"frozenset({'e', 'o', 'c'})"
0.5913343180699163,"frozenset({'e', 'c', 'n'})"
0.6250615460364353,"frozenset({'e', 'b', 'c'})"
0.6779911373707533,"frozenset({'e', 'f', 'c', 'p'})"
0.654357459379616,"frozenset({'e', 'w', 'f', 'c'})"
0.654357459379616,"frozenset({'e', 'w', 'c', 'p'})"
0.654357459379616,"frozenset({'e', 'f', 'c', 'p', 'w'})"
0.6351550960118169,"frozenset({'e', 'o', 'f', 'c'})"
0.6351550960118169,"frozenset({'e', 'o', 'c', 'p'})"
0.6115214180206795,"frozenset({'w', 'e', 'o', 'c'})"
0.6351550960118169,"frozenset({'e', 'f', 'c', 'p', 'o'})"
0.6115214180206795,"frozenset({'e', 'f', 'c', 'o', 'w'})"
0.6115214180206795,"frozenset({'e', 'c', 'o', 'p', 'w'})"
0.6115214180206795,"frozenset({'e', 'f', 'c', 'p', 'w', 'o'})"
0.5913343180699163,"frozenset({'e', 'f', 'c', 'n'})"
0.5913343180699163,"frozenset({'e', 'p', 'c', 'n'})"
0.567700640078779,"frozenset({'e', 'w', 'c', 'n'})"
0.5484982767109798,"frozenset({'e', 'o', 'c', 'n'})"
0.5384047267355982,"frozenset({'e', 'b', 'c', 'n'})"
0.5913343180699163,"frozenset({'e', 'f', 'c', 'p', 'n'})"
0.567700640078779,"frozenset({'e', 'c', 'p', 'w', 'n'})"
0.567700640078779,"frozenset({'e', 'f', 'c', 'w', 'n'})"
0.567700640078779,"frozenset({'e', 'f', 'c', 'p', 'w', 'n'})"
0.5484982767109798,"frozenset({'e', 'c', 'p', 'o', 'n'})"
0.5484982767109798,"frozenset({'e', 'f', 'c', 'o', 'n'})"
0.5248645987198425,"frozenset({'e', 'c', 'o', 'w', 'n'})"
0.5484982767109798,"frozenset({'e', 'f', 'c', 'p', 'o', 'n'})"
0.5248645987198425,"frozenset({'e', 'c', 'p', 'w', 'o', 'n'})"
0.5248645987198425,"frozenset({'e', 'f', 'c', 'w', 'o', 'n'})"
0.5248645987198425,"frozenset({'e', 'f', 'c', 'p', 'w', 'o', 'n'})"
0.5384047267355982,"frozenset({'e', 'b', 'c', 'p', 'n'})"
0.5384047267355982,"frozenset({'e', 'f', 'b', 'c', 'n'})"
0.5147710487444609,"frozenset({'e', 'b', 'c', 'w', 'n'})"
0.49556868537666177,"frozenset({'e', 'b', 'c', 'o', 'n'})"
0.5384047267355982,"frozenset({'e', 'f', 'b', 'c', 'p', 'n'})"
0.5147710487444609,"frozenset({'e', 'f', 'b', 'c', 'w', 'n'})"
0.5147710487444609,"frozenset({'e', 'b', 'c', 'p', 'w', 'n'})"
0.5147710487444609,"frozenset({'e', 'f', 'b', 'c', 'p', 'w', 'n'})"
0.49556868537666177,"frozenset({'e', 'f', 'b', 'c', 'o', 'n'})"
0.49556868537666177,"frozenset({'e', 'b', 'c', 'p', 'o', 'n'})"
0.47193500738552435,"frozenset({'e', 'b', 'c', 'w', 'o', 'n'})"
0.49556868537666177,"frozenset({'e', 'f', 'b', 'c', 'p', 'o', 'n'})"
0.47193500738552435,"frozenset({'e', 'f', 'b', 'c', 'w', 'o', 'n'})"
0.47193500738552435,"frozenset({'e', 'b', 'c', 'p', 'w', 'o', 'n'})"
0.47193500738552435,"frozenset({'e', 'f', 'b', 'c', 'p', 'w', 'o', 'n'})"
0.6250615460364353,"frozenset({'f', 'e', 'b', 'c'})"
0.6250615460364353,"frozenset({'e', 'b', 'c', 'p'})"
0.6014278680452979,"frozenset({'e', 'w', 'b', 'c'})"
0.5822255046774988,"frozenset({'e', 'o', 'b', 'c'})"
0.6250615460364353,"frozenset({'e', 'f', 'b', 'c', 'p'})"
0.6014278680452979,"frozenset({'e', 'b', 'c', 'p', 'w'})"
0.6014278680452979,"frozenset({'e', 'f', 'b', 'c', 'w'})"
0.6014278680452979,"frozenset({'e', 'f', 'b', 'c', 'p', 'w'})"
0.5822255046774988,"frozenset({'e', 'b', 'c', 'p', 'o'})"
0.5822255046774988,"frozenset({'e', 'f', 'b', 'c', 'o'})"
0.5585918266863614,"frozenset({'e', 'b', 'c', 'o', 'w'})"
0.5822255046774988,"frozenset({'e', 'f', 'b', 'c', 'p', 'o'})"
0.5585918266863614,"frozenset({'e', 'b', 'c', 'p', 'w', 'o'})"
0.5585918266863614,"frozenset({'e', 'f', 'b', 'c', 'w', 'o'})"
0.5585918266863614,"frozenset({'e', 'f', 'b', 'c', 'p', 'w', 'o'})"
0.758000984736583,"frozenset({'e', 'b', 'p'})"
0.758000984736583,"frozenset({'f', 'e', 'b'})"
0.7343673067454456,"frozenset({'e', 'w', 'b'})"
0.758000984736583,"frozenset({'f', 'e', 'b', 'p'})"
0.7343673067454456,"frozenset({'e', 'w', 'b', 'p'})"
0.7343673067454456,"frozenset({'f', 'e', 'w', 'b'})"
0.7343673067454456,"frozenset({'e', 'f', 'b', 'p', 'w'})"
0.8028064992614475,"frozenset({'f', 's'})"
0.8028064992614475,"frozenset({'s', 'p'})"
0.7791728212703102,"frozenset({'w', 's'})"
0.7516001969473166,"frozenset({'s', 'n'})"
0.7321516494337764,"frozenset({'o', 's'})"
0.6669128508124077,"frozenset({'c', 's'})"
0.6137370753323486,"frozenset({'e', 's'})"
0.7535696701132447,"frozenset({'b', 's'})"
0.8028064992614475,"frozenset({'f', 's', 'p'})"
0.7791728212703102,"frozenset({'w', 's', 'p'})"
0.7791728212703102,"frozenset({'w', 'f', 's'})"
0.7791728212703102,"frozenset({'w', 'f', 's', 'p'})"
0.7516001969473166,"frozenset({'p', 's', 'n'})"
0.7516001969473166,"frozenset({'f', 's', 'n'})"
0.7279665189561793,"frozenset({'w', 's', 'n'})"
0.7023633677991138,"frozenset({'b', 's', 'n'})"
0.7516001969473166,"frozenset({'p', 'f', 's', 'n'})"
0.7279665189561793,"frozenset({'w', 'f', 's', 'n'})"
0.7279665189561793,"frozenset({'w', 'p', 's', 'n'})"
0.7279665189561793,"frozenset({'f', 's', 'p', 'w', 'n'})"
0.7023633677991138,"frozenset({'f', 'b', 's', 'n'})"
0.7023633677991138,"frozenset({'p', 'b', 's', 'n'})"
0.6787296898079763,"frozenset({'w', 'b', 's', 'n'})"
0.7023633677991138,"frozenset({'f', 'b', 's', 'p', 'n'})"
0.6787296898079763,"frozenset({'f', 'b', 's', 'w', 'n'})"
0.6787296898079763,"frozenset({'b', 's', 'p', 'w', 'n'})"
0.6787296898079763,"frozenset({'f', 'b', 's', 'p', 'w', 'n'})"
0.7321516494337764,"frozenset({'o', 's', 'p'})"
0.7321516494337764,"frozenset({'o', 'f', 's'})"
0.7085179714426391,"frozenset({'o', 'w', 's'})"
0.6809453471196455,"frozenset({'o', 's', 'n'})"
0.6829148202855736,"frozenset({'o', 'b', 's'})"
0.7321516494337764,"frozenset({'o', 'f', 's', 'p'})"
0.7085179714426391,"frozenset({'o', 'w', 'f', 's'})"
0.7085179714426391,"frozenset({'o', 'w', 's', 'p'})"
0.7085179714426391,"frozenset({'f', 'o', 's', 'p', 'w'})"
0.6809453471196455,"frozenset({'o', 'f', 's', 'n'})"
0.6809453471196455,"frozenset({'o', 'p', 's', 'n'})"
0.6573116691285081,"frozenset({'o', 'w', 's', 'n'})"
0.6317085179714427,"frozenset({'o', 'b', 's', 'n'})"
0.6809453471196455,"frozenset({'f', 's', 'p', 'o', 'n'})"
0.6573116691285081,"frozenset({'o', 's', 'p', 'w', 'n'})"
0.6573116691285081,"frozenset({'f', 'o', 's', 'w', 'n'})"
0.6573116691285081,"frozenset({'f', 's', 'p', 'w', 'o', 'n'})"
0.6317085179714427,"frozenset({'b', 's', 'p', 'o', 'n'})"
0.6317085179714427,"frozenset({'f', 'b', 's', 'o', 'n'})"
0.6080748399803053,"frozenset({'b', 'o', 's', 'w', 'n'})"
0.6317085179714427,"frozenset({'f', 'b', 's', 'p', 'o', 'n'})"
0.6080748399803053,"frozenset({'b', 's', 'p', 'w', 'o', 'n'})"
0.6080748399803053,"frozenset({'f', 'b', 's', 'w', 'o', 'n'})"
0.6080748399803053,"frozenset({'f', 'b', 's', 'p', 'w', 'o', 'n'})"
0.6829148202855736,"frozenset({'f', 'o', 'b', 's'})"
0.6829148202855736,"frozenset({'o', 'b', 's', 'p'})"
0.6592811422944362,"frozenset({'o', 'w', 'b', 's'})"
0.6829148202855736,"frozenset({'f', 'b', 's', 'p', 'o'})"
0.6592811422944362,"frozenset({'f', 'b', 'o', 's', 'w'})"
0.6592811422944362,"frozenset({'b', 'o', 's', 'p', 'w'})"
0.6592811422944362,"frozenset({'f', 'b', 's', 'p', 'w', 'o'})"
0.6669128508124077,"frozenset({'c', 's', 'p'})"
0.6669128508124077,"frozenset({'c', 'f', 's'})"
0.6432791728212703,"frozenset({'c', 'w', 's'})"
0.6294928606597735,"frozenset({'c', 'o', 's'})"
0.6157065484982767,"frozenset({'c', 's', 'n'})"
0.6176760216642049,"frozenset({'c', 'b', 's'})"
0.6669128508124077,"frozenset({'c', 'f', 's', 'p'})"
0.6432791728212703,"frozenset({'c', 'w', 'f', 's'})"
0.6432791728212703,"frozenset({'c', 'w', 's', 'p'})"
0.6432791728212703,"frozenset({'f', 'c', 's', 'p', 'w'})"
0.6294928606597735,"frozenset({'c', 'o', 'f', 's'})"
0.6294928606597735,"frozenset({'c', 'o', 's', 'p'})"
0.6058591826686361,"frozenset({'o', 'c', 'w', 's'})"
0.6294928606597735,"frozenset({'f', 'c', 's', 'p', 'o'})"
0.6058591826686361,"frozenset({'f', 'c', 'o', 's', 'w'})"
0.6058591826686361,"frozenset({'c', 'o', 's', 'p', 'w'})"
0.6058591826686361,"frozenset({'f', 'c', 's', 'p', 'w', 'o'})"
0.6157065484982767,"frozenset({'c', 'f', 's', 'n'})"
0.6157065484982767,"frozenset({'c', 'p', 's', 'n'})"
0.5920728705071393,"frozenset({'c', 'w', 's', 'n'})"
0.5782865583456426,"frozenset({'c', 'o', 's', 'n'})"
0.5664697193500738,"frozenset({'c', 'b', 's', 'n'})"
0.6157065484982767,"frozenset({'f', 'c', 's', 'p', 'n'})"
0.5920728705071393,"frozenset({'c', 's', 'p', 'w', 'n'})"
0.5920728705071393,"frozenset({'f', 'c', 's', 'w', 'n'})"
0.5920728705071393,"frozenset({'f', 'c', 's', 'p', 'w', 'n'})"
0.5782865583456426,"frozenset({'c', 's', 'p', 'o', 'n'})"
0.5782865583456426,"frozenset({'f', 'c', 's', 'o', 'n'})"
0.5546528803545052,"frozenset({'c', 'o', 's', 'w', 'n'})"
0.5782865583456426,"frozenset({'f', 'c', 's', 'p', 'o', 'n'})"
0.5546528803545052,"frozenset({'c', 's', 'p', 'w', 'o', 'n'})"
0.5546528803545052,"frozenset({'f', 'c', 's', 'w', 'o', 'n'})"
0.5546528803545052,"frozenset({'f', 'c', 's', 'p', 'w', 'o', 'n'})"
0.5664697193500738,"frozenset({'b', 'c', 's', 'p', 'n'})"
0.5664697193500738,"frozenset({'f', 'b', 'c', 's', 'n'})"
0.5428360413589365,"frozenset({'b', 'c', 's', 'w', 'n'})"
0.5290497291974396,"frozenset({'b', 'c', 's', 'o', 'n'})"
0.5664697193500738,"frozenset({'f', 'b', 'c', 's', 'p', 'n'})"
0.5428360413589365,"frozenset({'f', 'b', 'c', 's', 'w', 'n'})"
0.5428360413589365,"frozenset({'b', 'c', 's', 'p', 'w', 'n'})"
0.5428360413589365,"frozenset({'f', 'b', 'c', 's', 'p', 'w', 'n'})"
0.5290497291974396,"frozenset({'f', 'b', 'c', 's', 'o', 'n'})"
0.5290497291974396,"frozenset({'b', 'c', 's', 'p', 'o', 'n'})"
0.5054160512063023,"frozenset({'b', 'c', 's', 'w', 'o', 'n'})"
0.5290497291974396,"frozenset({'f', 'b', 'c', 's', 'p', 'o', 'n'})"
0.5054160512063023,"frozenset({'f', 'b', 'c', 's', 'w', 'o', 'n'})"
0.5054160512063023,"frozenset({'b', 'c', 's', 'p', 'w', 'o', 'n'})"
0.5054160512063023,"frozenset({'f', 'b', 'c', 's', 'p', 'w', 'o', 'n'})"
0.6176760216642049,"frozenset({'f', 'c', 'b', 's'})"
0.6176760216642049,"frozenset({'c', 'b', 's', 'p'})"
0.5940423436730674,"frozenset({'c', 'w', 'b', 's'})"
0.5802560315115707,"frozenset({'c', 'o', 'b', 's'})"
0.6176760216642049,"frozenset({'f', 'b', 'c', 's', 'p'})"
0.5940423436730674,"frozenset({'b', 'c', 's', 'p', 'w'})"
0.5940423436730674,"frozenset({'f', 'b', 'c', 's', 'w'})"
0.5940423436730674,"frozenset({'f', 'b', 'c', 's', 'p', 'w'})"
0.5802560315115707,"frozenset({'b', 'c', 's', 'p', 'o'})"
0.5802560315115707,"frozenset({'f', 'b', 'c', 's', 'o'})"
0.5566223535204333,"frozenset({'b', 'c', 'o', 's', 'w'})"
0.5802560315115707,"frozenset({'f', 'b', 'c', 's', 'p', 'o'})"
0.5566223535204333,"frozenset({'b', 'c', 's', 'p', 'w', 'o'})"
0.5566223535204333,"frozenset({'f', 'b', 'c', 's', 'w', 'o'})"
0.5566223535204333,"frozenset({'f', 'b', 'c', 's', 'p', 'w', 'o'})"
0.6137370753323486,"frozenset({'e', 's', 'p'})"
0.6137370753323486,"frozenset({'e', 'f', 's'})"
0.5979812900049237,"frozenset({'e', 's', 'n'})"
0.5901033973412112,"frozenset({'e', 'w', 's'})"
0.5430822255046776,"frozenset({'e', 'o', 's'})"
0.4896602658788774,"frozenset({'e', 'c', 's'})"
0.5645002461841457,"frozenset({'e', 'b', 's'})"
0.6137370753323486,"frozenset({'e', 'f', 's', 'p'})"
0.5979812900049237,"frozenset({'e', 'f', 's', 'n'})"
0.5979812900049237,"frozenset({'e', 'p', 's', 'n'})"
0.5979812900049237,"frozenset({'e', 'f', 's', 'p', 'n'})"
0.5901033973412112,"frozenset({'e', 'w', 'f', 's'})"
0.5901033973412112,"frozenset({'e', 'w', 's', 'p'})"
0.5743476120137863,"frozenset({'e', 'w', 's', 'n'})"
0.5901033973412112,"frozenset({'e', 'f', 's', 'p', 'w'})"
0.5743476120137863,"frozenset({'e', 'f', 's', 'w', 'n'})"
0.5743476120137863,"frozenset({'e', 's', 'p', 'w', 'n'})"
0.5743476120137863,"frozenset({'e', 'f', 's', 'p', 'w', 'n'})"
0.5430822255046776,"frozenset({'e', 'o', 'f', 's'})"
0.5430822255046776,"frozenset({'e', 'o', 's', 'p'})"
0.5273264401772526,"frozenset({'e', 'o', 's', 'n'})"
0.5194485475135401,"frozenset({'w', 'e', 'o', 's'})"
0.4938453963564746,"frozenset({'e', 'o', 'b', 's'})"
0.5430822255046776,"frozenset({'e', 'f', 's', 'p', 'o'})"
0.5273264401772526,"frozenset({'e', 's', 'p', 'o', 'n'})"
0.5273264401772526,"frozenset({'e', 'f', 's', 'o', 'n'})"
0.5273264401772526,"frozenset({'e', 'f', 's', 'p', 'o', 'n'})"
0.5194485475135401,"frozenset({'e', 'o', 's', 'p', 'w'})"
0.5194485475135401,"frozenset({'e', 'f', 'o', 's', 'w'})"
0.5036927621861153,"frozenset({'e', 'o', 's', 'w', 'n'})"
0.5194485475135401,"frozenset({'e', 'f', 's', 'p', 'w', 'o'})"
0.5036927621861153,"frozenset({'e', 's', 'p', 'w', 'o', 'n'})"
0.5036927621861153,"frozenset({'e', 'f', 's', 'w', 'o', 'n'})"
0.5036927621861153,"frozenset({'e', 'f', 's', 'p', 'w', 'o', 'n'})"
0.4938453963564746,"frozenset({'e', 'b', 's', 'p', 'o'})"
0.4938453963564746,"frozenset({'e', 'f', 'b', 's', 'o'})"
0.47808961102904973,"frozenset({'e', 'b', 's', 'o', 'n'})"
0.47021171836533726,"frozenset({'e', 'b', 'o', 's', 'w'})"
0.4938453963564746,"frozenset({'e', 'f', 'b', 's', 'p', 'o'})"
0.47808961102904973,"frozenset({'e', 'f', 'b', 's', 'o', 'n'})"
0.47808961102904973,"frozenset({'e', 'b', 's', 'p', 'o', 'n'})"
